"Gene","Insertion.Index","log.likelihood.ratio","essential","non.essential","unclear"
"yheO",0.182572614,13.8164751580841,FALSE,TRUE,FALSE
"fkpA",0.279212792,22.3543812679232,FALSE,TRUE,FALSE
"slyX",0.292237443,23.4279228069003,FALSE,TRUE,FALSE
"slyD",0.280879865,22.4925638591933,FALSE,TRUE,FALSE
"yheV",0.189054726,14.4314448689958,FALSE,TRUE,FALSE
"kefB",0.277408638,22.2045703371565,FALSE,TRUE,FALSE
"kefG",0.29009009,23.2518667602696,FALSE,TRUE,FALSE
"yheS",0.246081505,19.5552009389922,FALSE,TRUE,FALSE
"yheT",0.272727273,21.8145313532123,FALSE,TRUE,FALSE
"yheU",0.242009132,19.2034522144258,FALSE,TRUE,FALSE
"prkB",0.31954023,25.6369391418455,FALSE,TRUE,FALSE
"yhfA",0.244444444,19.4140219613696,FALSE,TRUE,FALSE
"crp",0.060031596,-0.803959753485926,FALSE,FALSE,TRUE
"yhfK",0.288159772,23.0932956479182,FALSE,TRUE,FALSE
"argD",0.263718264,21.0583797731822,FALSE,TRUE,FALSE
"pabA",0.257092199,20.4973359622778,FALSE,TRUE,FALSE
"fic",0.230514096,18.2002542843578,FALSE,TRUE,FALSE
"yhfG",0.267857143,21.4066952275189,FALSE,TRUE,FALSE
"ppiA",0.242582897,19.2531227425035,FALSE,TRUE,FALSE
"tsgA",0.338409475,27.1348112871835,FALSE,TRUE,FALSE
"nirB",0.28341195,22.7020018790085,FALSE,TRUE,FALSE
"nirD",0.214067278,16.7358292942756,FALSE,TRUE,FALSE
"nirC",0.340768278,27.3205617310635,FALSE,TRUE,FALSE
"cysG",0.374818049,29.9686315744204,FALSE,TRUE,FALSE
"yhfL",0.494047619,38.8621700656118,FALSE,TRUE,FALSE
"frlA",0.306427504,24.5825896142601,FALSE,TRUE,FALSE
"frlB",0.218963832,17.1756449727605,FALSE,TRUE,FALSE
"frlC",0.243080626,19.2961808937384,FALSE,TRUE,FALSE
"frlD",0.27735369,22.2000032664205,FALSE,TRUE,FALSE
"frlR",0.221311475,17.3853311915727,FALSE,TRUE,FALSE
"yhfS",0.245856354,19.5358015274318,FALSE,TRUE,FALSE
"yhfT",0.250574713,19.9411990253022,FALSE,TRUE,FALSE
"yhfU",0.214689266,16.7918858258006,FALSE,TRUE,FALSE
"php",0.306029579,24.5504095273188,FALSE,TRUE,FALSE
"yhfW",0.251018745,19.9792277446789,FALSE,TRUE,FALSE
"yhfX",0.260309278,20.7702683549656,FALSE,TRUE,FALSE
"yhfY",0.316804408,25.417912044144,FALSE,TRUE,FALSE
"yhfZ",0.27593819,22.0822624534314,FALSE,TRUE,FALSE
"trpS",0.00199005,-26.7790832141047,TRUE,FALSE,FALSE
"gph",0.249011858,19.8071840073662,FALSE,TRUE,FALSE
"rpe",0.03539823,-5.75799882185208,TRUE,FALSE,FALSE
"dam",0.262843489,20.9845544967154,FALSE,TRUE,FALSE
"damX",0.267288267,21.3589150866403,FALSE,TRUE,FALSE
"aroB",0.237832874,18.8407842886235,FALSE,TRUE,FALSE
"aroK",0.130268199,8.4835906741026,FALSE,TRUE,FALSE
"hofQ",0.258272801,20.597615502966,FALSE,TRUE,FALSE
"hofP",0.259259259,20.6812985334754,FALSE,TRUE,FALSE
"hofO",0.231292517,18.2686903333787,FALSE,TRUE,FALSE
"hofN",0.209259259,16.3005983031941,FALSE,TRUE,FALSE
"hofM",0.233333333,18.4477572966117,FALSE,TRUE,FALSE
"mrcA",0.281237759,22.5221989814461,FALSE,TRUE,FALSE
"nudE",0.245989305,19.5472574927058,FALSE,TRUE,FALSE
"yrfF",0.030430712,-7.05265311761363,TRUE,FALSE,FALSE
"yrfG",0.301943199,24.2192926866627,FALSE,TRUE,FALSE
"hslR",0.213930348,16.7234810190432,FALSE,TRUE,FALSE
"hslO",0.260523322,20.7883914171707,FALSE,TRUE,FALSE
"yhgE",0.282898551,22.6595797518966,FALSE,TRUE,FALSE
"pck",0.240295749,19.0549035698789,FALSE,TRUE,FALSE
"envZ",0.254249815,20.2553310831777,FALSE,TRUE,FALSE
"ompR",0.255555556,20.3666054040495,FALSE,TRUE,FALSE
"greB",0.238993711,18.9417934982492,FALSE,TRUE,FALSE
"yhgF",0.267872524,21.4079866695159,FALSE,TRUE,FALSE
"feoA",0.49122807,38.6571999217497,FALSE,TRUE,FALSE
"feoB",0.314814815,25.2583179261179,FALSE,TRUE,FALSE
"feoC",0.270042194,21.5899423161101,FALSE,TRUE,FALSE
"yhgA",0.268486917,21.4595554240743,FALSE,TRUE,FALSE
"bioH",0.250324254,19.9197395326063,FALSE,TRUE,FALSE
"gntX",0.236842105,18.7544488064232,FALSE,TRUE,FALSE
"nfuA",0.217013889,17.0009030091585,FALSE,TRUE,FALSE
"gntT",0.295368261,23.6839720953287,FALSE,TRUE,FALSE
"malQ",0.274820144,21.9891408074724,FALSE,TRUE,FALSE
"malP",0.253550543,20.1956679974225,FALSE,TRUE,FALSE
"malT",0.24353289,19.3352818504269,FALSE,TRUE,FALSE
"rtcA",0.220255654,17.2911206797885,FALSE,TRUE,FALSE
"rtcB",0.2599837,20.7426931535778,FALSE,TRUE,FALSE
"rtcR",0.232020013,18.3325814910611,FALSE,TRUE,FALSE
"glpR",0.222661397,17.5055651134814,FALSE,TRUE,FALSE
"glpG",0.238267148,18.8785906258776,FALSE,TRUE,FALSE
"glpE",0.275229358,22.0232367487964,FALSE,TRUE,FALSE
"glpD",0.200531208,15.5014776621186,FALSE,TRUE,FALSE
"yzgL",0.187214612,14.2576842078954,FALSE,TRUE,FALSE
"glgP",0.266339869,21.2791920481564,FALSE,TRUE,FALSE
"glgA",0.274755927,21.983788880535,FALSE,TRUE,FALSE
"glgC",0.279320988,22.3633566890497,FALSE,TRUE,FALSE
"glgX",0.27254306,21.7991437887095,FALSE,TRUE,FALSE
"glgB",0.271147691,21.6824882687544,FALSE,TRUE,FALSE
"asd",0.002717391,-24.6753479440516,TRUE,FALSE,FALSE
"yhgN",0.249158249,19.8197480646086,FALSE,TRUE,FALSE
"gntU",0.252796421,20.1312686188712,FALSE,TRUE,FALSE
"gntK",0.215909091,16.9016613636027,FALSE,TRUE,FALSE
"gntR",0.260040161,20.7474759253919,FALSE,TRUE,FALSE
